Estructura de generaci�n (MW)

Hora,E�lica,Nuclear,Fuel/gas,Carb�n,Ciclo combinado,Hidr�ulica,Intercambios int,Enlace balear,Solar fotovoltaica,Solar t�rmica,T�rmica renovable,Cogeneraci�n y residuos
"2024-11-30 21:00","4964","5089","0","548","7275","5796","1471","-178","72","27","494","2222",
"2024-11-30 21:05","5185","5086","0","536","7406","5691","1153","-178","72","27","489","2228",
"2024-11-30 21:10","5260","5082","0","537","7454","5680","1260","-178","72","27","489","2233",
"2024-11-30 21:15","5347","5088","0","539","7263","5504","1285","-178","72","27","489","2228",
"2024-11-30 21:20","5394","5088","0","539","7018","5591","1540","-178","72","27","489","2231",
"2024-11-30 21:25","5445","5087","0","537","6932","5653","1482","-178","72","27","489","2235",
"2024-11-30 21:30","5484","5085","0","528","6806","5552","1527","-178","72","27","489","2230",
"2024-11-30 21:35","5576","5094","0","527","6654","5511","1433","-178","72","27","489","2189",
"2024-11-30 21:40","5614","5091","0","525","6608","5431","1235","-178","72","27","489","2235",
"2024-11-30 21:45","5701","5088","0","528","6548","5141","1352","-178","72","27","489","2234",
"2024-11-30 21:50","5666","5086","0","528","6596","5141","1213","-178","72","27","489","2236",
"2024-11-30 21:55","5670","5090","0","521","6600","4957","1239","-178","72","27","489","2236",
"2024-11-30 22:00","5702","5093","0","510","6467","4944","1173","-153","72","27","489","2235",
"2024-11-30 22:05","6022","5090","0","524","6489","5182","331","-129","72","27","490","2237",
"2024-11-30 22:10","6186","5093","0","515","6561","5059","232","-103","72","27","490","2235",
"2024-11-30 22:15","6221","5087","0","499","6448","4716","579","-100","72","27","490","2236",
"2024-11-30 22:20","6256","5090","0","479","6475","4345","317","-81","72","27","490","2236",
"2024-11-30 22:25","6356","5089","0","477","6485","4174","589","-101","72","27","490","2234",
"2024-11-30 22:30","6405","5087","0","484","6406","3961","463","-102","72","27","490","2237",
"2024-11-30 22:35","6412","5091","0","484","6120","3966","647","-102","72","27","490","2235",
"2024-11-30 22:40","6402","5092","0","483","5999","3978","606","-102","72","27","490","2237",
"2024-11-30 22:45","6364","5093","0","483","5840","3945","735","-102","72","27","490","2220",
"2024-11-30 22:50","6371","5091","0","488","5611","3851","969","-102","72","27","490","2216",
"2024-11-30 22:55","6319","5089","0","478","5570","3851","735","-101","72","27","490","2219",
"2024-11-30 23:00","6309","5091","0","455","5490","3595","911","-102","72","27","490","2228",
"2024-11-30 23:05","6280","5089","0","448","5269","3817","890","-102","72","27","494","2219",
"2024-11-30 23:10","6260","5086","0","428","5405","4013","620","-102","72","27","494","2226",
"2024-11-30 23:15","6185","5091","0","429","5343","3853","539","-102","72","26","494","2226",
"2024-11-30 23:20","6232","5093","0","428","5171","3651","697","-102","72","26","494","2185",
"2024-11-30 23:25","6214","5094","0","431","5168","3540","634","-102","72","27","494","2227",
"2024-11-30 23:30","6243","5092","0","432","5087","3258","842","-102","72","27","494","2230",
"2024-11-30 23:35","6222","5091","0","432","5004","3268","607","-102","72","26","494","2229",
"2024-11-30 23:40","6274","5092","0","432","5022","3148","687","-102","72","26","494","2190",
"2024-11-30 23:45","6325","5090","0","418","4919","2863","761","-102","72","26","494","2229",
"2024-11-30 23:50","6358","5087","0","415","4852","2871","938","-102","72","25","494","2241",
"2024-11-30 23:55","6332","5090","0","412","4728","2639","1120","-102","72","26","494","2237",
"2024-12-01 00:00","6323","5086","0","415","4719","2520","919","-102","72","26","494","2230",
"2024-12-01 00:05","6354","5092","0","414","5033","2545","624","-102","72","25","488","2201",
"2024-12-01 00:10","6400","5090","0","414","5115","2275","498","-102","72","26","488","2184",
"2024-12-01 00:15","6399","5089","0","413","5096","2158","606","-102","72","25","488","2182",
"2024-12-01 00:20","6412","5093","0","414","5029","1882","682","-102","72","25","488","2182",
"2024-12-01 00:25","6436","5096","0","414","4964","1998","565","-102","72","25","488","2150",
"2024-12-01 00:30","6482","5090","0","416","4789","1975","647","-102","72","25","488","2171",
"2024-12-01 00:35","6505","5092","0","421","4697","1824","721","-102","72","10","488","2172",
"2024-12-01 00:40","6505","5095","0","423","4668","1803","687","-102","72","24","488","2165",
"2024-12-01 00:45","6453","5090","0","424","4661","1710","728","-102","72","24","488","2136",
"2024-12-01 00:50","6439","5095","0","420","4612","1628","501","-102","72","24","488","2164",
"2024-12-01 00:55","6405","5092","0","424","4512","1653","527","-102","72","24","488","2169",
"2024-12-01 01:00","6388","5091","0","422","4291","1506","742","-92","72","22","488","2168",
"2024-12-01 01:05","6411","5088","0","422","4311","1462","759","-82","72","21","489","2144",
"2024-12-01 01:10","6432","5090","0","423","4293","1416","804","-82","72","20","489","2141",
"2024-12-01 01:15","6440","5095","0","420","4236","1334","671","-82","72","10","489","2138",
"2024-12-01 01:20","6437","5094","0","421","4160","1131","928","-82","72","17","489","2135",
"2024-12-01 01:25","6387","5092","0","422","4148","1141","1022","-82","72","15","489","2130",
"2024-12-01 01:30","6344","5094","0","420","4124","1133","1106","-82","72","13","489","2131",
"2024-12-01 01:35","6278","5095","0","420","4286","1059","781","-82","72","12","489","2137",
"2024-12-01 01:40","6212","5092","0","421","4187","998","977","-82","72","10","489","2140",
"2024-12-01 01:45","6145","5091","0","421","4081","909","1051","-82","72","11","489","2139",
"2024-12-01 01:50","6153","5088","0","421","4023","911","961","-82","72","11","489","2096",
"2024-12-01 01:55","6114","5092","0","418","4026","867","1047","-82","72","11","489","2139",
"2024-12-01 02:00","6099","5094","0","419","3998","777","1028","-82","72","12","489","2127",
"2024-12-01 02:05","6032","5094","0","420","4206","577","1011","-82","72","12","489","2143",
"2024-12-01 02:10","6024","5093","0","418","4257","536","962","-82","72","12","489","2096",
"2024-12-01 02:15","5976","5088","0","418","4236","541","935","-82","72","12","489","2141",
"2024-12-01 02:20","5894","5088","0","418","4158","523","1056","-82","72","12","489","2138",
"2024-12-01 02:25","5806","5093","0","418","4110","451","1076","-82","72","12","489","2140",
"2024-12-01 02:30","5736","5091","0","419","4158","498","1135","-82","72","11","489","2141",
"2024-12-01 02:35","5708","5094","0","417","4445","557","831","-82","72","11","489","2138",
"2024-12-01 02:40","5598","5092","0","418","4282","483","1009","-82","72","11","489","2139",
"2024-12-01 02:45","5511","5094","0","418","4137","397","1024","-82","72","11","489","2138",
"2024-12-01 02:50","5419","5090","0","418","4133","439","1175","-82","72","11","489","2136",
"2024-12-01 02:55","5363","5094","0","418","4181","454","1110","-82","72","11","489","2136",
"2024-12-01 03:00","5324","5094","0","418","4456","484","914","-82","72","11","489","2140",
"2024-12-01 03:05","5280","5092","0","416","4550","441","925","-82","72","11","488","2139",
"2024-12-01 03:10","5261","5094","0","416","4223","309","929","-82","72","11","488","2135",
"2024-12-01 03:15","5207","5088","0","416","4251","403","909","-82","72","11","488","2144",
"2024-12-01 03:20","5088","5091","0","418","4310","432","1018","-82","72","11","488","2144",
"2024-12-01 03:25","5007","5089","0","418","4519","440","846","-82","72","11","488","2133",
"2024-12-01 03:30","4954","5089","0","419","4435","403","1164","-82","72","11","488","2140",
"2024-12-01 03:35","4940","5092","0","419","4583","498","990","-82","72","11","488","2103",
"2024-12-01 03:40","4945","5088","0","418","4489","419","1013","-82","72","11","488","2133",
"2024-12-01 03:45","4967","5090","0","420","4426","380","833","-82","72","11","488","2130",
"2024-12-01 03:50","4952","5089","0","419","4401","418","869","-82","72","11","488","2134",
"2024-12-01 03:55","4948","5092","0","417","4378","401","1010","-82","72","11","488","2089",
"2024-12-01 04:00","4972","5092","0","418","4273","384","1062","-82","72","11","487","2128",
"2024-12-01 04:05","4949","5089","0","419","4257","409","1224","-82","72","11","486","2137",
"2024-12-01 04:10","4955","5087","0","416","4246","421","1135","-82","72","11","486","2134",
"2024-12-01 04:15","4900","5087","0","417","4220","439","1131","-82","72","10","486","2135",
"2024-12-01 04:20","4847","5090","0","418","4138","386","1378","-82","72","10","486","2133",
"2024-12-01 04:25","4825","5089","0","417","4126","456","1379","-82","72","10","486","2129",
"2024-12-01 04:30","4768","5088","0","414","4110","443","1348","-82","72","10","486","2138",
"2024-12-01 04:35","4769","5087","0","418","4110","433","1256","-82","72","10","486","2132",
"2024-12-01 04:40","4656","5089","0","418","4102","469","1262","-82","72","10","486","2094",
"2024-12-01 04:45","4617","5092","0","418","4092","433","1363","-82","72","10","486","2136",
"2024-12-01 04:50","4388","5093","0","417","4121","438","1592","-82","72","11","486","2111",
"2024-12-01 04:55","4466","5089","0","418","4116","458","1487","-82","72","10","486","2115",
"2024-12-01 05:00","4491","5091","0","416","4128","474","1566","-82","72","11","486","2074",
"2024-12-01 05:05","4444","5096","0","417","4152","531","1363","-82","72","10","487","2106",
"2024-12-01 05:10","4366","5096","0","418","4151","527","1585","-82","72","10","487","2106",
"2024-12-01 05:15","4394","5097","0","419","4156","536","1667","-82","72","11","487","2102",
"2024-12-01 05:20","4319","5096","0","417","4142","536","1497","-82","72","11","487","2072",
"2024-12-01 05:25","4292","5095","0","417","4259","552","1571","-82","72","11","487","2097",
"2024-12-01 05:30","4239","5088","0","417","4376","551","1540","-81","72","11","487","2097",
"2024-12-01 05:35","4217","5092","0","417","4355","542","1617","-82","72","11","487","2097",
"2024-12-01 05:40","4274","5089","0","418","4356","539","1470","-82","72","11","487","2098",
"2024-12-01 05:45","4314","5091","0","419","4410","584","1584","-82","72","11","487","2101",
"2024-12-01 05:50","4319","5092","0","419","4441","581","1391","-82","72","11","487","2099",
"2024-12-01 05:55","4315","5093","0","416","4437","586","1459","-81","72","11","487","2101",
"2024-12-01 06:00","4288","5094","0","417","4376","567","1521","-91","72","11","487","2098",
"2024-12-01 06:05","4251","5093","0","417","4307","748","1560","-101","72","11","486","2106",
"2024-12-01 06:10","4195","5091","0","419","4377","869","1664","-102","72","11","486","2119",
"2024-12-01 06:15","4181","5089","0","415","4380","899","1657","-101","72","11","467","2116",
"2024-12-01 06:20","4219","5091","0","417","4355","892","1769","-102","72","11","467","2114",
"2024-12-01 06:25","4185","5090","0","418","4324","1000","1724","-102","72","11","467","2109",
"2024-12-01 06:30","4164","5095","0","418","4471","1006","1606","-101","72","11","473","2105",
"2024-12-01 06:35","4132","5094","0","416","4650","1015","1550","-102","72","11","486","2106",
"2024-12-01 06:40","4094","5093","0","419","4691","975","1575","-102","72","11","486","2109",
"2024-12-01 06:45","4151","5090","0","418","4685","996","1511","-102","72","11","479","2074",
"2024-12-01 06:50","4175","5095","0","419","4671","986","1508","-102","72","11","481","2107",
"2024-12-01 06:55","4195","5093","0","418","4683","1057","1736","-102","72","11","481","2106",
"2024-12-01 07:00","4180","5097","0","418","4635","1168","1741","-102","72","11","484","2106",
"2024-12-01 07:05","4122","5097","0","419","4577","1307","1565","-102","72","11","483","2110",
"2024-12-01 07:10","4212","5094","0","414","4394","1208","2048","-102","72","11","483","2112",
"2024-12-01 07:15","4249","5101","0","418","4678","1414","1650","-102","72","10","483","2103",
"2024-12-01 07:20","4258","5092","0","420","4831","1197","1758","-102","72","10","483","2100",
"2024-12-01 07:25","4280","5096","0","419","4859","1205","1662","-102","72","9","483","2110",
"2024-12-01 07:30","4334","5093","0","420","4891","1126","1863","-102","72","9","471","2101",
"2024-12-01 07:35","4317","5091","0","421","4903","995","2051","-102","72","10","471","2101",
"2024-12-01 07:40","4267","5096","0","418","4962","1118","1675","-102","72","10","471","2091",
"2024-12-01 07:45","4198","5092","0","418","4915","1131","2039","-101","72","11","468","2101",
"2024-12-01 07:50","4132","5093","0","419","4937","1311","2019","-101","72","11","469","2055",
"2024-12-01 07:55","4063","5093","0","420","5002","1346","2050","-102","72","11","469","2095",
"2024-12-01 08:00","4039","5094","0","421","5033","1634","1771","-102","73","11","465","2093",
"2024-12-01 08:05","4005","5091","0","415","5147","2054","1634","-102","77","11","462","2072",
"2024-12-01 08:10","3949","5094","0","421","5087","2010","1671","-102","85","11","462","2084",
"2024-12-01 08:15","3807","5097","0","420","5143","2228","1420","-102","104","11","459","2063",
"2024-12-01 08:20","3743","5094","0","419","5101","2382","1381","-102","137","11","453","2089",
"2024-12-01 08:25","3746","5090","0","418","5045","2229","1522","-102","191","11","453","2088",
"2024-12-01 08:30","3662","5095","0","419","5025","2411","1515","-102","276","11","449","2035",
"2024-12-01 08:35","3814","5093","0","418","5022","2292","1429","-102","372","11","448","2091",
"2024-12-01 08:40","3829","5092","0","420","4920","2204","1489","-102","489","11","448","2092",
"2024-12-01 08:45","3903","5093","0","421","4917","2278","1318","-102","639","11","448","2090",
"2024-12-01 08:50","3925","5095","0","420","4903","2462","1170","-102","818","11","448","2077",
"2024-12-01 08:55","3888","5091","0","418","4893","2501","1098","-102","1027","11","448","2082",
"2024-12-01 09:00","3821","5092","0","420","4575","2821","1064","-102","1266","12","448","2087",
"2024-12-01 09:05","3848","5094","0","419","4495","3278","945","-102","1510","11","451","2081",
"2024-12-01 09:10","3865","5085","0","419","4397","3155","823","-102","1759","11","451","2088",
"2024-12-01 09:15","3909","5089","0","419","4156","3108","1193","-102","1972","11","451","2051",
"2024-12-01 09:20","3919","5094","0","419","4069","3362","1103","-102","2228","11","451","2093",
"2024-12-01 09:25","3923","5092","0","419","4041","3137","1070","-102","2561","11","451","2095",
"2024-12-01 09:30","3900","5088","0","428","4139","2833","737","-102","2885","12","451","2094",
"2024-12-01 09:35","3907","5085","0","438","4077","2651","1012","-102","3133","11","451","2082",
"2024-12-01 09:40","3938","5095","0","455","4210","2643","923","-102","3297","11","451","2090",
"2024-12-01 09:45","3956","5088","0","455","4152","2527","870","-101","3527","12","451","2083",
"2024-12-01 09:50","3912","5095","0","456","4069","2326","820","-102","3855","11","453","2088",
"2024-12-01 09:55","3893","5095","0","460","4031","2021","950","-102","4152","11","453","2093",
"2024-12-01 10:00","3851","5092","0","456","3921","2489","651","-116","4378","11","451","2086",
"2024-12-01 10:05","3720","5091","0","441","3891","3060","377","-124","4667","11","447","2080",
"2024-12-01 10:10","3711","5093","0","443","3630","3366","249","-124","4794","11","447","2081",
"2024-12-01 10:15","3576","5096","0","445","3509","3306","499","-124","4978","11","447","2087",
"2024-12-01 10:20","3424","5095","0","444","3523","2931","550","-124","5272","11","447","2051",
"2024-12-01 10:25","3325","5091","0","442","3544","3071","365","-124","5555","11","447","2085",
"2024-12-01 10:30","3294","5090","0","444","3571","3054","126","-124","5784","11","447","2090",
"2024-12-01 10:35","3326","5090","0","445","3596","2778","187","-124","6033","11","447","2083",
"2024-12-01 10:40","3245","5090","0","442","3516","2464","285","-124","6390","11","447","2077",
"2024-12-01 10:45","3261","5087","0","440","3590","2384","207","-124","6464","11","447","2085",
"2024-12-01 10:50","3204","5095","0","440","3626","2424","9","-124","6712","11","447","2069",
"2024-12-01 10:55","3205","5095","0","440","3626","2230","156","-124","6880","11","447","2076",
"2024-12-01 11:00","3141","5093","0","441","3643","2385","-276","-128","7034","11","447","2035",
"2024-12-01 11:05","3178","5092","0","441","3756","2526","-152","-128","6853","11","437","2076",
"2024-12-01 11:10","3202","5094","0","448","3699","2760","-238","-128","6901","11","437","2075",
"2024-12-01 11:15","3132","5093","0","448","3654","3305","-754","-128","6999","11","437","2077",
"2024-12-01 11:20","3075","5088","0","448","3609","3144","-802","-128","7193","11","437","2063",
"2024-12-01 11:25","3083","5088","0","453","3471","3246","-974","-128","7349","11","437","2071",
"2024-12-01 11:30","3090","5096","0","452","3303","3205","-787","-128","7362","11","437","2079",
"2024-12-01 11:35","3114","5091","0","448","3288","3214","-978","-128","7389","11","437","2071",
"2024-12-01 11:40","3114","5094","0","456","3288","3211","-695","-128","7272","11","437","2075",
"2024-12-01 11:45","3128","5091","0","467","3241","3100","-774","-128","7385","11","437","2038",
"2024-12-01 11:50","3130","5091","0","473","3173","2997","-819","-128","7631","13","437","2073",
"2024-12-01 11:55","3101","5093","0","481","3165","2966","-926","-128","7791","14","437","2076",
"2024-12-01 12:00","3103","5093","0","514","3065","2807","-756","-120","7809","15","432","2075",
"2024-12-01 12:05","3060","5093","0","527","3122","2665","-553","-102","7775","16","438","2034",
"2024-12-01 12:10","3032","5089","0","530","3162","2653","-620","-102","7792","17","438","2071",
"2024-12-01 12:15","3074","5090","0","529","3139","2568","-681","-102","7944","17","438","2072",
"2024-12-01 12:20","3102","5089","0","537","3206","2477","-614","-102","8007","18","438","2075",
"2024-12-01 12:25","3127","5087","0","537","3185","2262","-792","-102","8062","18","438","2032",
"2024-12-01 12:30","3111","5088","0","537","3172","2291","-776","-102","8063","18","436","2073",
"2024-12-01 12:35","3107","5090","0","537","3226","2256","-712","-102","8065","18","435","2069",
"2024-12-01 12:40","3201","5086","0","543","3198","2214","-873","-102","8105","18","435","2066",
"2024-12-01 12:45","3213","5088","0","543","3156","2328","-1046","-102","8255","18","435","2070",
"2024-12-01 12:50","3143","5085","0","541","3093","2322","-1167","-102","8383","18","435","2058",
"2024-12-01 12:55","3145","5089","0","541","2944","2260","-994","-102","8426","19","435","2066",
"2024-12-01 13:00","3094","5088","0","541","3007","2328","-884","-92","8418","19","435","2060",
"2024-12-01 13:05","3014","5086","0","527","3157","2532","-984","-82","8342","19","436","2068",
"2024-12-01 13:10","2997","5091","0","528","3206","2534","-997","-81","8312","19","436","2030",
"2024-12-01 13:15","2961","5093","0","527","3297","2278","-923","-81","8324","19","439","2065",
"2024-12-01 13:20","2943","5092","0","526","3367","2245","-730","-82","8223","19","440","2063",
"2024-12-01 13:25","2949","5089","0","525","3430","2449","-912","-81","8287","19","440","2064",
"2024-12-01 13:30","2960","5094","0","526","3437","2411","-821","-81","8262","22","440","2024",
"2024-12-01 13:35","2928","5086","0","525","3584","2586","-942","-81","8224","23","440","2062",
"2024-12-01 13:40","2930","5092","0","526","3606","2687","-916","-81","8182","23","440","2063",
"2024-12-01 13:45","2879","5091","0","526","3665","2825","-749","-81","8023","30","440","2060",
"2024-12-01 13:50","2864","5087","0","529","3855","2911","-681","-81","7859","41","439","2022",
"2024-12-01 13:55","2865","5086","0","536","3988","2981","-663","-81","7780","43","439","2053",
"2024-12-01 14:00","2952","5091","0","547","3980","3166","-937","-81","7788","45","440","2062",
"2024-12-01 14:05","2961","5088","0","573","3851","3432","-802","-82","7622","47","438","2066",
"2024-12-01 14:10","2913","5083","0","585","3932","3931","-1376","-82","7716","48","438","2076",
"2024-12-01 14:15","2891","5091","0","586","3794","3821","-1413","-81","7718","49","438","2089",
"2024-12-01 14:20","2878","5088","0","585","3736","3782","-1286","-81","7655","56","438","2091",
"2024-12-01 14:25","2877","5086","0","586","3688","3658","-1228","-81","7582","64","438","2093",
"2024-12-01 14:30","2831","5085","0","584","3632","3485","-954","-81","7440","62","438","2095",
"2024-12-01 14:35","2793","5086","0","585","3674","3607","-1065","-81","7334","58","438","2101",
"2024-12-01 14:40","2817","5081","0","584","3671","3690","-1031","-81","7265","60","438","2103",
"2024-12-01 14:45","2776","5086","0","583","3661","3690","-814","-81","7131","58","438","2098",
"2024-12-01 14:50","2730","5089","0","583","3708","3507","-647","-81","7069","55","438","2086",
"2024-12-01 14:55","2682","5086","0","581","3907","3561","-904","-81","7149","53","438","2089",
"2024-12-01 15:00","2625","5091","0","574","3910","3670","-628","-91","6832","51","438","2099",
"2024-12-01 15:05","2621","5090","0","553","4027","3730","-795","-101","6562","44","439","2099",
"2024-12-01 15:10","2582","5093","0","522","3997","3843","-655","-102","6349","43","439","2100",
"2024-12-01 15:15","2585","5082","0","517","4119","3864","-742","-102","6212","37","439","2065",
"2024-12-01 15:20","2547","5088","0","530","4192","3893","-1000","-102","6231","36","439","2102",
"2024-12-01 15:25","2504","5079","0","541","4147","4128","-810","-102","6007","34","439","2095",
"2024-12-01 15:30","2481","5085","0","538","4121","4006","-667","-101","5918","39","439","2094",
"2024-12-01 15:35","2455","5083","0","539","4253","4219","-471","-102","5618","42","439","2061",
"2024-12-01 15:40","2444","5089","0","542","4570","4208","-695","-102","5464","43","439","2104",
"2024-12-01 15:45","2419","5085","0","540","4783","4337","-787","-102","5209","43","439","2105",
"2024-12-01 15:50","2438","5085","0","540","4806","4427","-923","-102","4967","43","439","2101",
"2024-12-01 15:55","2406","5083","0","542","4799","4400","-729","-102","4839","42","439","2106",
"2024-12-01 16:00","2428","5078","0","539","4984","4140","-483","-102","4527","41","439","2106",
"2024-12-01 16:05","2485","5089","0","526","5345","3822","-155","-102","4172","40","445","2121",
"2024-12-01 16:10","2417","5082","0","525","5397","3947","-56","-102","3956","40","445","2124",
"2024-12-01 16:15","2413","5087","0","527","5538","4039","-160","-102","3699","39","445","2117",
"2024-12-01 16:20","2384","5084","0","526","5782","4105","-229","-102","3455","39","445","2086",
"2024-12-01 16:25","2335","5084","0","525","5978","4259","-132","-102","3162","38","445","2116",
"2024-12-01 16:30","2339","5083","0","526","6325","4381","-206","-102","2880","36","445","2131",
"2024-12-01 16:35","2289","5082","0","530","6478","4364","-167","-102","2656","33","445","2105",
"2024-12-01 16:40","2333","5080","0","528","6575","4526","-26","-102","2445","29","445","2070",
"2024-12-01 16:45","2306","5086","0","525","6677","4705","-226","-102","2213","25","445","2111",
"2024-12-01 16:50","2315","5085","0","526","6811","5031","-319","-102","1930","25","445","2133",
"2024-12-01 16:55","2303","5083","0","525","6879","5097","-212","-102","1683","11","445","2140",
"2024-12-01 17:00","2285","5085","0","526","6966","4809","324","-102","1424","11","439","2125",
"2024-12-01 17:05","2268","5085","0","526","6894","4710","1049","-102","1185","11","450","2123",
"2024-12-01 17:10","2252","5088","0","526","7025","4770","1227","-102","1026","11","450","2134",
"2024-12-01 17:15","2310","5087","0","527","7049","5075","984","-102","848","11","450","2134",
"2024-12-01 17:20","2352","5085","0","528","7055","5259","821","-102","690","11","450","2106",
"2024-12-01 17:25","2363","5084","0","531","7095","5329","1009","-102","550","11","450","2147",
"2024-12-01 17:30","2332","5082","0","544","7183","5492","966","-102","424","11","450","2154",
"2024-12-01 17:35","2285","5082","0","553","7441","5581","1029","-102","325","11","450","2151",
"2024-12-01 17:40","2189","5084","0","556","7592","5651","1322","-102","244","11","450","2161",
"2024-12-01 17:45","2104","5082","0","558","7866","5614","1244","-102","183","11","450","2159",
"2024-12-01 17:50","2067","5087","0","558","8180","5721","1219","-102","137","11","450","2171",
"2024-12-01 17:55","2122","5081","0","555","8200","5683","1279","-102","109","11","450","2160",
"2024-12-01 18:00","2093","5084","0","559","7919","5556","2023","-102","90","11","450","2163",
"2024-12-01 18:05","2039","5087","0","558","7320","5574","2780","-102","74","11","452","2142",
"2024-12-01 18:10","2064","5086","0","557","7175","5736","3079","-102","65","11","452","2176",
"2024-12-01 18:15","2113","5090","0","557","7321","5829","2745","-102","63","11","452","2185",
"2024-12-01 18:20","2163","5086","0","559","7467","5944","2779","-102","63","11","452","2181",
"2024-12-01 18:25","2118","5087","0","558","7435","5879","2769","-102","62","11","452","2187",
"2024-12-01 18:30","2055","5089","0","558","7437","6076","2533","-102","62","11","452","2186",
"2024-12-01 18:35","2033","5089","0","557","7488","6225","2865","-102","62","11","452","2190",
"2024-12-01 18:40","2046","5091","0","556","7523","6266","2610","-102","62","11","452","2197",
"2024-12-01 18:45","2085","5087","0","555","7588","6302","2776","-102","62","11","452","2195",
"2024-12-01 18:50","2097","5088","0","559","7545","6414","2825","-102","63","11","452","2199",
"2024-12-01 18:55","2077","5088","0","560","7589","6436","2773","-102","63","11","452","2196",
"2024-12-01 19:00","2061","5087","0","562","7510","6528","2779","-101","63","11","468","2194",
"2024-12-01 19:05","2004","5091","0","578","7460","6638","2652","-102","64","11","476","2187",
"2024-12-01 19:10","1981","5092","0","583","7340","6797","2726","-102","64","11","476","2163",
"2024-12-01 19:15","2062","5088","0","578","7373","6728","2724","-102","64","11","476","2197",
"2024-12-01 19:20","2125","5089","0","577","7500","6744","2539","-102","63","11","476","2196",
"2024-12-01 19:25","2179","5091","0","578","7512","6780","2598","-102","63","12","476","2198",
"2024-12-01 19:30","2215","5089","0","578","7472","6499","2821","-102","63","11","476","2156",
"2024-12-01 19:35","2224","5090","0","578","7707","6767","2434","-102","63","11","476","2200",
"2024-12-01 19:40","2293","5087","0","577","7700","6592","2697","-102","62","11","476","2199",
"2024-12-01 19:45","2328","5089","0","577","7673","6558","2678","-102","62","11","476","2201",
"2024-12-01 19:50","2387","5092","0","578","7882","6320","2671","-102","62","11","476","2169",
"2024-12-01 19:55","2427","5087","0","578","7896","6272","2762","-102","62","11","476","2201",
"2024-12-01 20:00","2428","5090","0","578","7807","6448","2663","-102","62","11","476","2213",
"2024-12-01 20:05","2489","5086","0","598","7811","6838","2367","-102","62","11","481","2209",
"2024-12-01 20:10","2569","5087","0","614","7674","6866","2523","-102","62","11","481","2210",
"2024-12-01 20:15","2616","5088","0","617","7609","6812","2590","-102","62","11","481","2209",
"2024-12-01 20:20","2601","5085","0","616","7773","6650","2548","-102","62","11","481","2206",
"2024-12-01 20:25","2656","5087","0","617","7936","6547","2744","-102","62","11","481","2211",
"2024-12-01 20:30","2600","5086","0","623","8039","6466","2635","-102","62","11","481","2206",
"2024-12-01 20:35","2569","5089","0","615","8196","6599","2402","-102","62","11","481","2207",
"2024-12-01 20:40","2598","5089","0","615","8182","6309","2785","-102","62","11","481","2204",
"2024-12-01 20:45","2655","5086","0","579","8199","6349","2794","-102","62","11","481","2198",
"2024-12-01 20:50","2724","5091","0","564","8283","6268","2754","-102","62","11","481","2211",
