Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2024-11-30 21:00","4964","5089","0","548","7275","1471","-178","72","27","494","2222","0","-559","0","0","2045","6","0","21","4398",
"2024-11-30 21:05","5185","5086","0","536","7406","1153","-178","72","27","489","2228","0","-527","-275","0","1977","0","0","20","4330",
"2024-11-30 21:10","5260","5082","0","537","7454","1260","-178","72","27","489","2233","0","-574","-340","0","2197","0","0","20","4339",
"2024-11-30 21:15","5347","5088","0","539","7263","1285","-178","72","27","489","2228","0","-522","-352","0","2178","0","0","20","4134",
"2024-11-30 21:20","5394","5088","0","539","7018","1540","-178","72","27","489","2231","0","-457","-284","0","2304","0","0","20","4137",
"2024-11-30 21:25","5445","5087","0","537","6932","1482","-178","72","27","489","2235","0","-514","-215","0","2224","0","0","19","4192",
"2024-11-30 21:30","5484","5085","0","528","6806","1527","-178","72","27","489","2230","0","-525","-172","0","2244","0","0","19","4153",
"2024-11-30 21:35","5576","5094","0","527","6654","1433","-178","72","27","489","2189","0","-454","-218","0","2122","0","0","19","4144",
"2024-11-30 21:40","5614","5091","0","525","6608","1235","-178","72","27","489","2235","0","-432","-222","0","1909","0","0","19","4128",
"2024-11-30 21:45","5701","5088","0","528","6548","1352","-178","72","27","489","2234","0","-397","-225","0","1995","0","0","18","3899",
"2024-11-30 21:50","5666","5086","0","528","6596","1213","-178","72","27","489","2236","0","-422","-250","0","1905","0","0","18","3892",
"2024-11-30 21:55","5670","5090","0","521","6600","1239","-178","72","27","489","2236","0","-355","-384","0","1999","0","0","18","3791",
"2024-11-30 22:00","5702","5093","0","510","6467","1173","-153","72","27","489","2235","0","-334","-827","0","2356","0","0","18","3782",
"2024-11-30 22:05","6022","5090","0","524","6489","331","-129","72","27","490","2237","0","-187","-1275","0","1799","0","0","18","3940",
"2024-11-30 22:10","6186","5093","0","515","6561","232","-103","72","27","490","2235","0","-213","-1298","0","1771","0","0","18","3878",
"2024-11-30 22:15","6221","5087","0","499","6448","579","-100","72","27","490","2236","0","-225","-1248","0","2064","0","0","18","3727",
"2024-11-30 22:20","6256","5090","0","479","6475","317","-81","72","27","490","2236","0","-198","-1211","0","1747","0","0","18","3426",
"2024-11-30 22:25","6356","5089","0","477","6485","589","-101","72","27","490","2234","0","-160","-1368","0","2131","0","0","17","3393",
"2024-11-30 22:30","6405","5087","0","484","6406","463","-102","72","27","490","2237","0","-78","-1373","0","1918","0","0","17","3249",
"2024-11-30 22:35","6412","5091","0","484","6120","647","-102","72","27","490","2235","0","-91","-1333","0","2097","0","0","17","3250",
"2024-11-30 22:40","6402","5092","0","483","5999","606","-102","72","27","490","2237","0","-19","-1361","0","2007","0","0","18","3261",
"2024-11-30 22:45","6364","5093","0","483","5840","735","-102","72","27","490","2220","0","0","-1372","0","2119","0","6","17","3236",
"2024-11-30 22:50","6371","5091","0","488","5611","969","-102","72","27","490","2216","0","-12","-1347","0","2347","0","0","17","3201",
"2024-11-30 22:55","6319","5089","0","478","5570","735","-101","72","27","490","2219","0","-26","-1306","0","2107","0","0","17","3200",
"2024-11-30 23:00","6309","5091","0","455","5490","911","-102","72","27","490","2228","0","0","-1316","0","2221","0","20","17","3009",
"2024-11-30 23:05","6280","5089","0","448","5269","890","-102","72","27","494","2219","0","0","-1547","0","2441","0","3","16","3359",
"2024-11-30 23:10","6260","5086","0","428","5405","620","-102","72","27","494","2226","0","-147","-1587","0","2396","0","0","16","3464",
"2024-11-30 23:15","6185","5091","0","429","5343","539","-102","72","26","494","2226","0","-212","-1555","0","2340","0","0","16","3294",
"2024-11-30 23:20","6232","5093","0","428","5171","697","-102","72","26","494","2185","0","-56","-1527","0","2334","0","0","16","3137",
"2024-11-30 23:25","6214","5094","0","431","5168","634","-102","72","27","494","2227","0","-84","-1532","0","2288","0","0","15","3036",
"2024-11-30 23:30","6243","5092","0","432","5087","842","-102","72","27","494","2230","0","0","-1527","0","2356","0","28","15","2790",
"2024-11-30 23:35","6222","5091","0","432","5004","607","-102","72","26","494","2229","0","0","-1440","0","2108","0","27","15","2804",
"2024-11-30 23:40","6274","5092","0","432","5022","687","-102","72","26","494","2190","0","0","-1499","0","2156","0","50","15","2743",
"2024-11-30 23:45","6325","5090","0","418","4919","761","-102","72","26","494","2229","0","0","-1575","0","2165","0","155","15","2556",
"2024-11-30 23:50","6358","5087","0","415","4852","938","-102","72","25","494","2241","0","0","-1522","0","2309","0","165","15","2649",
"2024-11-30 23:55","6332","5090","0","412","4728","1120","-102","72","26","494","2237","0","0","-1572","0","2512","0","193","14","2533",
"2024-12-01 00:00","6323","5086","0","415","4719","919","-102","72","26","494","2230","0","0","-1745","0","2498","0","183","14","2451",
"2024-12-01 00:05","6354","5092","0","414","5033","624","-102","72","25","488","2201","0","-20","-1830","0","2503","0","0","14","2524",
"2024-12-01 00:10","6400","5090","0","414","5115","498","-102","72","26","488","2184","0","-34","-2001","0","2549","0","0","14","2250",
"2024-12-01 00:15","6399","5089","0","413","5096","606","-102","72","25","488","2182","0","-53","-1953","0","2631","0","0","14","2121",
"2024-12-01 00:20","6412","5093","0","414","5029","682","-102","72","25","488","2182","0","-8","-1949","0","2659","0","0","14","1906",
"2024-12-01 00:25","6436","5096","0","414","4964","565","-102","72","25","488","2150","0","-39","-1985","0","2604","0","0","13","2025",
"2024-12-01 00:30","6482","5090","0","416","4789","647","-102","72","25","488","2171","0","-3","-1908","0","2568","0","0","13","2056",
"2024-12-01 00:35","6505","5092","0","421","4697","721","-102","72","10","488","2172","0","0","-1942","0","2552","0","125","13","1965",
"2024-12-01 00:40","6505","5095","0","423","4668","687","-102","72","24","488","2165","0","-101","-1856","0","2661","0","0","13","1974",
"2024-12-01 00:45","6453","5090","0","424","4661","728","-102","72","24","488","2136","0","-42","-1920","0","2689","0","0","13","1885",
"2024-12-01 00:50","6439","5095","0","420","4612","501","-102","72","24","488","2164","0","-18","-1922","0","2481","0","0","13","1801",
"2024-12-01 00:55","6405","5092","0","424","4512","527","-102","72","24","488","2169","0","-19","-1913","0","2476","0","0","13","1828",
"2024-12-01 01:00","6388","5091","0","422","4291","742","-92","72","22","488","2168","0","-64","-1733","0","2553","0","0","13","1915",
"2024-12-01 01:05","6411","5088","0","422","4311","759","-82","72","21","489","2144","0","0","-1630","0","2346","0","30","13","1969",
"2024-12-01 01:10","6432","5090","0","423","4293","804","-82","72","20","489","2141","0","0","-1632","0","2282","0","118","13","1928",
"2024-12-01 01:15","6440","5095","0","420","4236","671","-82","72","10","489","2138","0","0","-1644","0","2147","0","110","13","1776",
"2024-12-01 01:20","6437","5094","0","421","4160","928","-82","72","17","489","2135","0","0","-1665","0","2435","0","168","13","1754",
"2024-12-01 01:25","6387","5092","0","422","4148","1022","-82","72","15","489","2130","0","0","-1729","0","2627","0","137","13","1782",
"2024-12-01 01:30","6344","5094","0","420","4124","1106","-82","72","13","489","2131","0","0","-1818","0","2684","0","252","12","1771",
"2024-12-01 01:35","6278","5095","0","420","4286","781","-82","72","12","489","2137","0","0","-1679","0","2394","0","78","12","1893",
"2024-12-01 01:40","6212","5092","0","421","4187","977","-82","72","10","489","2140","0","0","-1732","0","2660","0","78","12","1834",
"2024-12-01 01:45","6145","5091","0","421","4081","1051","-82","72","11","489","2139","0","0","-1777","0","2755","0","86","12","1744",
"2024-12-01 01:50","6153","5088","0","421","4023","961","-82","72","11","489","2096","0","0","-1756","0","2611","0","98","12","1746",
"2024-12-01 01:55","6114","5092","0","418","4026","1047","-82","72","11","489","2139","0","0","-1715","0","2613","0","161","12","1700",
"2024-12-01 02:00","6099","5094","0","419","3998","1028","-82","72","12","489","2127","0","0","-1707","0","2515","0","176","12","1664",
"2024-12-01 02:05","6032","5094","0","420","4206","1011","-82","72","12","489","2143","0","0","-1854","0","2627","0","250","11","1683",
"2024-12-01 02:10","6024","5093","0","418","4257","962","-82","72","12","489","2096","0","0","-1696","0","2438","0","169","11","1632",
