time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco
2024-12-25 00:00:00,-15.0,-27.1,35.0,0.0,38.0,7.6,1026.3,2.0
2024-12-25 01:00:00,-15.1,-27.5,34.0,0.0,38.0,7.9,1026.3,2.0
2024-12-25 02:00:00,-15.2,-27.6,34.0,0.0,39.0,7.9,1026.6,1.0
2024-12-25 03:00:00,-15.2,-27.9,33.0,0.0,41.0,8.3,1026.4,1.0
2024-12-25 04:00:00,-13.9,-27.1,32.0,0.0,42.0,7.9,1026.5,1.0
2024-12-25 05:00:00,-11.8,-25.9,30.0,0.0,39.0,7.6,1026.0,1.0
2024-12-25 06:00:00,-9.9,-24.2,30.0,0.0,36.0,6.5,1025.3,1.0
2024-12-25 07:00:00,-8.1,-22.3,31.0,0.0,28.0,6.1,1024.8,1.0
2024-12-25 08:00:00,-6.9,-21.2,31.0,0.0,27.0,5.8,1024.5,1.0
2024-12-25 09:00:00,-6.6,-21.0,31.0,0.0,31.0,5.4,1024.2,2.0
2024-12-25 10:00:00,-6.6,-21.3,30.0,0.0,33.0,5.8,1024.1,1.0
2024-12-25 11:00:00,-7.9,-22.9,29.0,0.0,41.0,6.5,1024.2,1.0
2024-12-25 12:00:00,-9.6,-24.4,29.0,0.0,50.0,6.8,1024.2,2.0
2024-12-25 13:00:00,-10.6,-25.2,29.0,0.0,54.0,7.6,1024.0,3.0
2024-12-25 14:00:00,-11.3,-25.8,29.0,0.0,51.0,7.9,1024.2,3.0
2024-12-25 15:00:00,-11.8,-25.9,30.0,0.0,47.0,7.9,1024.8,3.0
2024-12-25 16:00:00,-12.0,-26.5,29.0,0.0,44.0,7.9,1024.8,3.0
2024-12-25 17:00:00,-11.7,-27.0,27.0,0.0,39.0,7.6,1025.1,3.0
2024-12-25 18:00:00,-11.9,-27.6,26.0,0.0,38.0,7.2,1025.2,3.0
2024-12-25 19:00:00,-12.1,-28.2,25.0,0.0,38.0,7.2,1025.1,3.0
2024-12-25 20:00:00,-11.4,-26.7,27.0,0.0,32.0,6.8,1024.2,3.0
2024-12-25 21:00:00,-11.2,-27.0,26.0,0.0,34.0,6.8,1024.4,3.0
2024-12-25 22:00:00,-11.9,-27.6,26.0,0.0,35.0,7.2,1024.6,3.0
2024-12-25 23:00:00,-12.1,-27.7,26.0,0.0,35.0,7.2,1024.7,3.0
2024-12-26 00:00:00,-12.2,-27.8,26.0,0.0,34.0,7.2,1024.8,3.0
2024-12-26 01:00:00,-11.9,-27.6,26.0,0.0,35.0,7.2,1025.5,3.0
2024-12-26 02:00:00,-12.0,-27.6,26.0,0.0,36.0,6.8,1025.9,3.0
2024-12-26 03:00:00,-11.9,-27.6,26.0,0.0,34.0,6.8,1026.4,3.0
2024-12-26 04:00:00,-10.8,-26.6,26.0,0.0,33.0,6.8,1027.2,3.0
2024-12-26 05:00:00,-8.9,-25.0,26.0,0.0,34.0,6.8,1027.8,3.0
2024-12-26 06:00:00,-6.7,-22.6,27.0,0.0,28.0,6.8,1028.0,3.0
2024-12-26 07:00:00,-4.8,-20.6,28.0,0.0,22.0,6.5,1027.7,3.0
2024-12-26 08:00:00,-3.5,-18.6,30.0,0.0,50.0,6.1,1027.5,3.0
2024-12-26 09:00:00,-3.6,-18.7,30.0,0.0,172.0,6.1,1027.7,3.0
2024-12-26 10:00:00,-4.3,-19.7,29.0,0.0,180.0,5.4,1027.8,3.0
2024-12-26 11:00:00,-5.5,-20.8,29.0,0.0,81.0,5.0,1028.7,3.0
